context,config_key,family_key,family_label,parameter_count,regularization,primary_eligible,fold,fit_subjects,validation_subjects,fit_records,validation_records,training_regularized_objective,training_data_loss,training_identity_penalty,validation_loss,parameters_json
full_training_selection,identity__lambda_0,identity,Identity,0,0.0,True,1,7,3,13,5,3.038679161632389,3.038679161632389,0.0,1.3340135286810588,{}
full_training_selection,identity__lambda_0,identity,Identity,0,0.0,True,2,7,3,13,5,2.4748720055291833,2.4748720055291833,0.0,2.6495635595885414,{}
full_training_selection,identity__lambda_0,identity,Identity,0,0.0,True,3,8,2,14,4,2.717011327086912,2.717011327086912,0.0,1.7683520503873038,{}
full_training_selection,identity__lambda_0,identity,Identity,0,0.0,True,4,8,2,14,4,1.9359294206979265,1.9359294206979265,0.0,4.892679675943247,{}
full_training_selection,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,1,7,3,13,5,1.2492253413842644,1.2492253413842644,0.21793626883252146,2.0202624744589124,"{""kappa"": 11.489365623138502}"
full_training_selection,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,2,7,3,13,5,1.4095311252726446,1.4095311252726446,0.1294018764321186,1.024253022239598,"{""kappa"": 5.5332794388618325}"
full_training_selection,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,3,8,2,14,4,1.2772871590339916,1.2772871590339916,0.1519338764389387,1.3083728445692604,"{""kappa"": 6.560614206452521}"
full_training_selection,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,4,8,2,14,4,0.9729095571711444,0.9729095571711444,0.11580967488935584,2.707331848720261,"{""kappa"": 4.989114344778358}"
full_training_selection,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,1,7,3,13,5,1.2494432738739278,1.2492253451666455,0.2179287072822945,2.0201465758825767,"{""kappa"": 11.48849837438225}"
full_training_selection,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,2,7,3,13,5,1.4096605217556721,1.4095311306685288,0.12939108714333358,1.0243026216414046,"{""kappa"": 5.532828290469549}"
full_training_selection,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,3,8,2,14,4,1.2774390873985348,1.277287164548592,0.15192284994295316,1.3083461868701531,"{""kappa"": 6.560063163398008}"
full_training_selection,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,4,8,2,14,4,0.9730253612982488,0.9729095627192628,0.11579857898598568,2.7074658146846726,"{""kappa"": 4.988688099742612}"
full_training_selection,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,1,7,3,13,5,1.2514043257608065,1.24922572000349,0.2178605757316588,2.0191017430089753,"{""kappa"": 11.48068922144571}"
full_training_selection,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,2,7,3,13,5,1.4108246044599781,1.4095316649638956,0.129293949608248,1.024749408693779,"{""kappa"": 5.528768039485855}"
full_training_selection,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,3,8,2,14,4,1.2788059465963644,1.277287710265862,0.15182363305023566,1.308106702548809,"{""kappa"": 6.555107305568056}"
full_training_selection,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,4,8,2,14,4,0.9740670992127818,0.9729101119836984,0.11569872290834152,2.708671483307259,"{""kappa"": 4.984853358614615}"
full_training_selection,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,1,7,3,13,5,1.270980869541437,1.2492637387895433,0.217171307518938,2.008475409468945,"{""kappa"": 11.402187491847359}"
full_training_selection,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,2,7,3,13,5,1.4224172458715836,1.409585313028951,0.12831932842632524,1.0292557885948816,"{""kappa"": 5.488178575149334}"
full_training_selection,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,3,8,2,14,4,1.2924254094389993,1.2773423170325977,0.150830924064017,1.3057482952674362,"{""kappa"": 6.505762959367345}"
full_training_selection,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,4,8,2,14,4,0.9844349640440226,0.9729652188432992,0.11469745200723452,2.7207670078642785,"{""kappa"": 4.946519644103495}"
full_training_selection,signed_exponential_1p__lambda_1,signed_exponential_1p,Signed exponential (1 parameter),1,1.0,True,1,7,3,13,5,1.4630556218362585,1.2536941157117172,0.20936150612454124,1.881491053955132,"{""kappa"": 10.571970223125868}"
full_training_selection,signed_exponential_1p__lambda_1,signed_exponential_1p,Signed exponential (1 parameter),1,1.0,True,2,7,3,13,5,1.5334157709595846,1.4151725282719185,0.11824324268766612,1.0783916787165886,"{""kappa"": 5.08325184964824}"
full_training_selection,signed_exponential_1p__lambda_1,signed_exponential_1p,Signed exponential (1 parameter),1,1.0,True,3,8,2,14,4,1.4236746459369887,1.282883413438744,0.14079123249824482,1.2855648569061846,"{""kappa"": 6.029659703105826}"
full_training_selection,signed_exponential_1p__lambda_1,signed_exponential_1p,Signed exponential (1 parameter),1,1.0,True,4,8,2,14,4,1.083077681333142,0.9786387409297523,0.10443894040338961,2.845481935332674,"{""kappa"": 4.565103315875148}"
full_training_selection,signed_exponential_1p__lambda_10,signed_exponential_1p,Signed exponential (1 parameter),1,10.0,True,1,7,3,13,5,2.572649972861092,2.123370380598793,0.044927959226229906,0.6612627544944053,"{""kappa"": 2.5509886443530525}"
full_training_selection,signed_exponential_1p__lambda_10,signed_exponential_1p,Signed exponential (1 parameter),1,10.0,True,2,7,3,13,5,2.1403945379776417,1.847759394357632,0.029263514362000972,1.8089782488594597,"{""kappa"": 1.9882100300237078}"
full_training_selection,signed_exponential_1p__lambda_10,signed_exponential_1p,Signed exponential (1 parameter),1,10.0,True,3,8,2,14,4,2.2154487302943546,1.7853783160239,0.043007041427045464,1.3645356189253683,"{""kappa"": 2.4848691892971355}"
