outer_fold,context,config_key,family_key,family_label,parameter_count,regularization,primary_eligible,fold,fit_subjects,validation_subjects,fit_records,validation_records,training_regularized_objective,training_data_loss,training_identity_penalty,validation_loss,parameters_json
1,outer_1_inner_training_only,identity__lambda_0,identity,Identity,0,0.0,True,1,6,2,10,4,3.5777162066249564,3.5777162066249564,0.0,1.3084349296629367,{}
1,outer_1_inner_training_only,identity__lambda_0,identity,Identity,0,0.0,True,2,6,2,10,4,3.075969932395597,3.075969932395597,0.0,2.813673752351016,{}
1,outer_1_inner_training_only,identity__lambda_0,identity,Identity,0,0.0,True,3,6,2,11,3,2.619305119813442,2.619305119813442,0.0,4.183668190097478,{}
1,outer_1_inner_training_only,identity__lambda_0,identity,Identity,0,0.0,True,4,6,2,11,3,2.7685922907038103,2.7685922907038103,0.0,3.735806677426374,{}
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,1,6,2,10,4,1.0938150905427637,1.0938150905427637,0.24526411712061202,1.08164328288197,"{""kappa"": 15.57385843972734}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,2,6,2,10,4,0.7067038083898236,0.7067038083898236,0.2482523812481318,2.289803973413021,"{""kappa"": 16.177153399278485}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,3,6,2,11,3,1.040748035161151,1.040748035161151,0.20074941139173103,1.314318615942193,"{""kappa"": 9.766045530880326}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,4,6,2,11,3,1.2977333499481385,1.2977333499481385,0.21493725797772711,0.41392750307622395,"{""kappa"": 11.153858653385548}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,1,6,2,10,4,1.0940603525098338,1.093815092692867,0.24525981696692842,1.0815833653306934,"{""kappa"": 15.573019481653057}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,2,6,2,10,4,0.7069520584815889,0.7067038106805689,0.24824780102009217,2.2897239452048352,"{""kappa"": 16.17619661313336}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,3,6,2,11,3,1.0409487793080627,1.0407480404265994,0.20073888146340227,1.3144371365099743,"{""kappa"": 9.765121511233328}"
