candidate,loso_balanced_accuracy,loso_f1,loso_accuracy,loso_sensitivity,loso_specificity,loso_average_precision_score,loso_roc_auc_score,median_fold_threshold
consensus__trailing_mean_2,0.8640350877192983,0.6666666666666666,0.8863636363636364,0.8333333333333334,0.8947368421052632,0.8708333333333333,0.9692982456140351,0.0554688852280378
consensus__trailing_mean_3,0.8640350877192983,0.6666666666666666,0.8863636363636364,0.8333333333333334,0.8947368421052632,0.8592592592592592,0.9649122807017544,0.0468245682617028
consensus__trailing_mean_5,0.8640350877192983,0.6666666666666666,0.8863636363636364,0.8333333333333334,0.8947368421052632,0.8592592592592592,0.9649122807017544,0.0411881648004055
c3_m2__trailing_mean_1,0.8508771929824561,0.625,0.8636363636363636,0.8333333333333334,0.868421052631579,0.8766233766233766,0.9692982456140351,0.0109653510153293
consensus__trailing_mean_1,0.8508771929824561,0.625,0.8636363636363636,0.8333333333333334,0.868421052631579,0.8766233766233766,0.9692982456140351,0.0109653510153293
c4_m1__trailing_mean_1,0.8508771929824561,0.625,0.8636363636363636,0.8333333333333334,0.868421052631579,0.8617424242424241,0.9649122807017544,0.0559991709887981
c4_m1__trailing_mean_5,0.8508771929824561,0.625,0.8636363636363636,0.8333333333333334,0.868421052631579,0.8617424242424241,0.9649122807017544,0.1153452880680561
c3_m2__trailing_mean_2,0.8508771929824561,0.625,0.8636363636363636,0.8333333333333334,0.868421052631579,0.8501683501683501,0.9605263157894737,0.0185165209695696
geomean__trailing_mean_2,0.8508771929824561,0.625,0.8636363636363636,0.8333333333333334,0.868421052631579,0.8501683501683501,0.9605263157894737,0.0389193072915077
c3_m2__trailing_mean_3,0.8508771929824561,0.625,0.8636363636363636,0.8333333333333334,0.868421052631579,0.8409090909090908,0.9561403508771931,0.0221896587560574
c4_m1__trailing_mean_2,0.8508771929824561,0.625,0.8636363636363636,0.8333333333333334,0.868421052631579,0.8409090909090908,0.9561403508771931,0.0779857952147722
c4_m1__trailing_mean_3,0.8508771929824561,0.625,0.8636363636363636,0.8333333333333334,0.868421052631579,0.8409090909090908,0.9561403508771931,0.0942915193736553
geomean__trailing_mean_1,0.8377192982456141,0.5882352941176471,0.8409090909090909,0.8333333333333334,0.8421052631578947,0.8690476190476191,0.9649122807017543,0.0259741991758346
mean__trailing_mean_1,0.8377192982456141,0.5882352941176471,0.8409090909090909,0.8333333333333334,0.8421052631578947,0.8690476190476191,0.9649122807017543,0.0334822610020637
c3_m2__trailing_mean_5,0.8377192982456141,0.5882352941176471,0.8409090909090909,0.8333333333333334,0.8421052631578947,0.8425925925925926,0.956140350877193,0.0264072190970182
mean__trailing_mean_2,0.8377192982456141,0.5882352941176471,0.8409090909090909,0.8333333333333334,0.8421052631578947,0.8425925925925926,0.956140350877193,0.0482511594891548
geomean__trailing_mean_3,0.8377192982456141,0.5882352941176471,0.8409090909090909,0.8333333333333334,0.8421052631578947,0.8333333333333333,0.9517543859649122,0.0468653862675031
mean__trailing_mean_3,0.8377192982456141,0.5882352941176471,0.8409090909090909,0.8333333333333334,0.8421052631578947,0.8257575757575757,0.9473684210526315,0.0582405899961789
geomean__trailing_mean_5,0.8245614035087719,0.5555555555555556,0.8181818181818182,0.8333333333333334,0.8157894736842105,0.8361823361823362,0.9517543859649122,0.0571506112813949
mean__trailing_mean_5,0.8245614035087719,0.5555555555555556,0.8181818181818182,0.8333333333333334,0.8157894736842105,0.8361823361823362,0.9517543859649122,0.0708762541413307
