context,config_key,family_key,family_label,parameter_count,regularization,primary_eligible,fold,fit_subjects,validation_subjects,fit_records,validation_records,training_regularized_objective,training_data_loss,training_identity_penalty,validation_loss,parameters_json
full_training_selection,identity__lambda_0,identity,Identity,0,0.0,True,1,9,2,15,5,6.055844007369229,6.055844007369229,0.0,2.9027683128940693,{}
full_training_selection,identity__lambda_0,identity,Identity,0,0.0,True,2,8,3,15,5,5.5841979734408715,5.5841979734408715,0.0,5.211516301528075,{}
full_training_selection,identity__lambda_0,identity,Identity,0,0.0,True,3,8,3,15,5,4.213155475797771,4.213155475797771,0.0,8.867629628576344,{}
full_training_selection,identity__lambda_0,identity,Identity,0,0.0,True,4,8,3,15,5,6.005371802012674,6.005371802012674,0.0,4.088386092003269,{}
full_training_selection,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,1,9,2,15,5,5.787759751999048,5.787759751999048,0.11493097408001557,3.2246138273714138,"{""kappa"": -4.955441021734836}"
full_training_selection,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,2,8,3,15,5,5.503296258670628,5.503296258670628,0.03340874172922276,7.415430730779104,"{""kappa"": 2.1435595031953327}"
full_training_selection,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,3,8,3,15,5,3.8935877883499197,3.8935877883499197,0.13363197893576018,9.155410477147745,"{""kappa"": -5.712808534380526}"
full_training_selection,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,4,8,3,15,5,5.634186385258368,5.634186385258368,0.12862123052844654,4.506432710178929,"{""kappa"": -5.500722945998658}"
full_training_selection,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,1,9,2,15,5,5.7878746156452054,5.787759819315115,0.11479633009101212,3.2243751507367313,"{""kappa"": -4.9502957366972815}"
full_training_selection,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,2,8,3,15,5,5.503329657828436,5.503296268257565,0.03338957087098153,7.414466653890126,"{""kappa"": 2.1428544390142426}"
full_training_selection,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,3,8,3,15,5,3.8937213496869885,3.8935878589669572,0.13349072003108686,9.155196338401847,"{""kappa"": -5.7067257034578365}"
full_training_selection,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,4,8,3,15,5,5.6343149530466405,5.634186438681186,0.1285143654547143,4.506279833167579,"{""kappa"": -5.496279645921395}"
full_training_selection,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,1,9,2,15,5,5.788902358738379,5.787766421152943,0.11359375854360057,3.2222397481653817,"{""kappa"": -4.904508810190246}"
full_training_selection,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,2,8,3,15,5,5.503629388772925,5.503297214463127,0.033217430979803536,7.40580993387109,"{""kappa"": 2.1365183897131095}"
full_training_selection,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,3,8,3,15,5,3.8949170630106935,3.8935948122916235,0.1322250719070105,9.153275932885226,"{""kappa"": -5.652500332672554}"
full_training_selection,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,4,8,3,15,5,5.635467266460794,5.634191701989077,0.1275564471717025,4.50490555536193,"{""kappa"": -5.456593705355967}"
full_training_selection,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,1,9,2,15,5,5.798613152093381,5.788365602759505,0.1024754933387623,3.2021615755781516,"{""kappa"": -4.494220355893745}"
full_training_selection,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,2,8,3,15,5,5.5065428206755564,5.503388988786622,0.031538318889352365,7.321351102329587,"{""kappa"": 2.074212422878318}"
full_training_selection,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,3,8,3,15,5,3.906267249372766,3.894246821197474,0.12020428175292296,9.13485751148528,"{""kappa"": -5.160087239813201}"
full_training_selection,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,4,8,3,15,5,5.646528757260864,5.634690821685905,0.11837935574959091,4.491367271550434,"{""kappa"": -5.0885562152754}"
full_training_selection,signed_exponential_1p__lambda_1,signed_exponential_1p,Signed exponential (1 parameter),1,1.0,True,1,9,2,15,5,5.861040505189388,5.812863464705668,0.048177040483720034,3.090612970080218,"{""kappa"": -2.6616500348576433}"
full_training_selection,signed_exponential_1p__lambda_1,signed_exponential_1p,Signed exponential (1 parameter),1,1.0,True,2,8,3,15,5,5.5286583814372925,5.509890794535975,0.018767586901317298,6.668473119687571,"{""kappa"": 1.5574719596541184}"
full_training_selection,signed_exponential_1p__lambda_1,signed_exponential_1p,Signed exponential (1 parameter),1,1.0,True,3,8,3,15,5,3.9799770047243954,3.9230644399644725,0.0569125647599228,9.028098335801566,"{""kappa"": -2.9539969719322707}"
full_training_selection,signed_exponential_1p__lambda_1,signed_exponential_1p,Signed exponential (1 parameter),1,1.0,True,4,8,3,15,5,5.723996889219922,5.660965304888579,0.06303158433134293,4.390121258625013,"{""kappa"": -3.156276126784871}"
full_training_selection,signed_exponential_1p__lambda_10,signed_exponential_1p,Signed exponential (1 parameter),1,10.0,True,1,9,2,15,5,5.987536156571066,5.941293359867025,0.004624279670404122,2.9506111042753305,"{""kappa"": -0.7515764281693115}"
full_training_selection,signed_exponential_1p__lambda_10,signed_exponential_1p,Signed exponential (1 parameter),1,10.0,True,2,8,3,15,5,5.571763138754593,5.560726455458043,0.0011036683296550796,5.48716193347309,"{""kappa"": 0.36469086319681854}"
full_training_selection,signed_exponential_1p__lambda_10,signed_exponential_1p,Signed exponential (1 parameter),1,10.0,True,3,8,3,15,5,4.130037574244314,4.074557142627579,0.005548043161673579,8.90296871762201,"{""kappa"": -0.8247090243646596}"
full_training_selection,signed_exponential_1p__lambda_10,signed_exponential_1p,Signed exponential (1 parameter),1,10.0,True,4,8,3,15,5,5.900100430944267,5.831903085023192,0.006819734592107543,4.19014719136842,"{""kappa"": -0.9166271264489162}"
full_training_selection,bernstein_degree_2__lambda_0,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.0,True,1,9,2,15,5,5.869683034629213,5.869683034629213,0.033333333333300005,3.0617014165080025,"{""control_points"": [0.0, 1.0, 1.0], ""degree"": 2, ""interior_control_points"": [1.0]}"
full_training_selection,bernstein_degree_2__lambda_0,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.0,True,2,8,3,15,5,5.515977065565309,5.515977065565309,0.02453102107122496,7.409414925389538,"{""control_points"": [0.0, 0.07106800301869391, 1.0], ""degree"": 2, ""interior_control_points"": [0.07106800301869391]}"
full_training_selection,bernstein_degree_2__lambda_0,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.0,True,3,8,3,15,5,4.003835886086459,4.003835886086459,0.033333333333300005,8.973287685329085,"{""control_points"": [0.0, 1.0, 1.0], ""degree"": 2, ""interior_control_points"": [1.0]}"
full_training_selection,bernstein_degree_2__lambda_0,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.0,True,4,8,3,15,5,5.744892696410257,5.744892696410257,0.033333333333300005,4.3304695244656255,"{""control_points"": [0.0, 1.0, 1.0], ""degree"": 2, ""interior_control_points"": [1.0]}"
full_training_selection,bernstein_degree_2__lambda_0.001,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.001,True,1,9,2,15,5,5.869716367962546,5.869683034629213,0.033333333333300005,3.0617014165080025,"{""control_points"": [0.0, 1.0, 1.0], ""degree"": 2, ""interior_control_points"": [1.0]}"
full_training_selection,bernstein_degree_2__lambda_0.001,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.001,True,2,8,3,15,5,5.516001590262672,5.515977071892996,0.024518369675526393,7.408374966228112,"{""control_points"": [0.0, 0.0711786239392539, 1.0], ""degree"": 2, ""interior_control_points"": [0.0711786239392539]}"
full_training_selection,bernstein_degree_2__lambda_0.001,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.001,True,3,8,3,15,5,4.0038692194197925,4.003835886086459,0.033333333333300005,8.973287685329085,"{""control_points"": [0.0, 1.0, 1.0], ""degree"": 2, ""interior_control_points"": [1.0]}"
full_training_selection,bernstein_degree_2__lambda_0.001,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.001,True,4,8,3,15,5,5.74492602974359,5.744892696410257,0.033333333333300005,4.3304695244656255,"{""control_points"": [0.0, 1.0, 1.0], ""degree"": 2, ""interior_control_points"": [1.0]}"
full_training_selection,bernstein_degree_2__lambda_0.01,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.01,True,1,9,2,15,5,5.8700163679625454,5.869683034629213,0.033333333333300005,3.0617014165080025,"{""control_points"": [0.0, 1.0, 1.0], ""degree"": 2, ""interior_control_points"": [1.0]}"
full_training_selection,bernstein_degree_2__lambda_0.01,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.01,True,2,8,3,15,5,5.516221744321098,5.515977696041664,0.02440482794341474,7.399050717394561,"{""control_points"": [0.0, 0.07217268720219186, 1.0], ""degree"": 2, ""interior_control_points"": [0.07217268720219186]}"
