outer_fold,context,config_key,family_key,family_label,parameter_count,regularization,primary_eligible,fold,fit_subjects,validation_subjects,fit_records,validation_records,training_regularized_objective,training_data_loss,training_identity_penalty,validation_loss,parameters_json
1,outer_1_inner_training_only,identity__lambda_0,identity,Identity,0,0.0,True,1,8,2,12,4,4.816101459169979,4.816101459169979,0.0,8.453313731393544,{}
1,outer_1_inner_training_only,identity__lambda_0,identity,Identity,0,0.0,True,2,8,2,12,4,4.283958019657484,4.283958019657484,0.0,10.581887489443526,{}
1,outer_1_inner_training_only,identity__lambda_0,identity,Identity,0,0.0,True,3,7,3,12,4,7.2000722286996615,7.2000722286996615,0.0,1.6783111784164304,{}
1,outer_1_inner_training_only,identity__lambda_0,identity,Identity,0,0.0,True,4,7,3,12,4,6.15790513956049,6.15790513956049,0.0,4.110034386407831,{}
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,1,8,2,12,4,4.796575404235194,4.796575404235194,0.006939752506079247,8.013092792445198,"{""kappa"": -0.9248749053244424}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,2,8,2,12,4,3.9659875108925116,3.9659875108925116,0.11252588528097776,10.97868409974897,"{""kappa"": -4.864099376116291}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,3,7,3,12,4,6.5624359736579185,6.5624359736579185,0.20262015685896545,2.728373763244166,"{""kappa"": -9.932458670646188}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,4,7,3,12,4,6.1521501791885145,6.1521501791885145,0.0023881616856893315,3.8967227855168445,"{""kappa"": -0.5377833622822684}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,1,8,2,12,4,4.796582341104707,4.796575407118456,0.00693398625080278,8.013249869333766,"{""kappa"": -0.9244801472324973}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,2,8,2,12,4,3.9660999839736912,3.9659875636665127,0.11242030717831217,10.978546623458481,"{""kappa"": -4.860116685248095}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,3,7,3,12,4,6.562638551561183,6.56243601591721,0.20253564397352752,2.728168652930191,"{""kappa"": -9.924842809097688}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,4,7,3,12,4,6.152152566260315,6.1521501802772764,0.0023859830388379536,3.896809759400299,"{""kappa"": -0.5375357528777928}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,1,8,2,12,4,4.796644514617729,4.796575690039983,0.006882457774548304,8.014657291072417,"{""kappa"": -0.9209457880301697}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,2,8,2,12,4,3.967107509305828,3.965992749612019,0.11147596938092327,10.97731193135699,"{""kappa"": -4.824592097704036}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,3,7,3,12,4,6.564457945334138,6.562440208726378,0.2017736607760416,2.7263174266178574,"{""kappa"": -9.856598851681207}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,4,7,3,12,4,6.152173952366146,6.15215028707173,0.002366529441636311,3.8975885219527076,"{""kappa"": -0.5353199039132197}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,1,8,2,12,4,4.797241834290419,4.796601708209995,0.006401260804234872,8.02813968293108,"{""kappa"": -0.8873324017202693}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,2,8,2,12,4,3.9767334991241783,3.966472661503385,0.1026083762079347,10.965255353945016,"{""kappa"": -4.49899823144135}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,3,7,3,12,4,6.582270240322524,6.5628689763002335,0.19401264022290163,2.7072612785009262,"{""kappa"": -9.202011941871175}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,4,7,3,12,4,6.152378613515403,6.1521600716413545,0.0021854187404829134,3.905033141226344,"{""kappa"": -0.5142491660766889}"
1,outer_1_inner_training_only,signed_exponential_1p__lambda_1,signed_exponential_1p,Signed exponential (1 parameter),1,1.0,True,1,8,2,12,4,4.801537645001093,4.797947336278957,0.003590308722136012,8.123655615926864,"{""kappa"": -0.6609181161254105}"
