evaluation,outer_fold,dataset_scope,positive_stage,negative_stage,component,component_label,n_positive_epochs,n_negative_epochs,auc
training_outer_fold,1.0,Zhang only,W,N1,f_self_similarity,pure F_S,21,14,0.6224489795918366
training_outer_fold,1.0,Zhang only,W,N1,f_old_return_prominence,old single-P correction,21,14,0.7210884353741496
training_outer_fold,1.0,Zhang only,W,N1,f_repeat_micro_v3,fixed R^* micro-correction,21,14,0.6496598639455782
training_outer_fold,1.0,Zhang only,W,N2,f_self_similarity,pure F_S,21,8,0.8035714285714286
training_outer_fold,1.0,Zhang only,W,N2,f_old_return_prominence,old single-P correction,21,8,0.8511904761904762
training_outer_fold,1.0,Zhang only,W,N2,f_repeat_micro_v3,fixed R^* micro-correction,21,8,0.8154761904761905
training_outer_fold,1.0,Zhang only,W,N3,f_self_similarity,pure F_S,21,0,
training_outer_fold,1.0,Zhang only,W,N3,f_old_return_prominence,old single-P correction,21,0,
training_outer_fold,1.0,Zhang only,W,N3,f_repeat_micro_v3,fixed R^* micro-correction,21,0,
training_outer_fold,1.0,Zhang only,W,REM,f_self_similarity,pure F_S,21,5,0.819047619047619
training_outer_fold,1.0,Zhang only,W,REM,f_old_return_prominence,old single-P correction,21,5,0.7904761904761906
training_outer_fold,1.0,Zhang only,W,REM,f_repeat_micro_v3,fixed R^* micro-correction,21,5,0.819047619047619
training_outer_fold,1.0,Zhang only,W,all non-W sleep,f_self_similarity,pure F_S,21,27,0.7125220458553791
training_outer_fold,1.0,Zhang only,W,all non-W sleep,f_old_return_prominence,old single-P correction,21,27,0.7724867724867724
training_outer_fold,1.0,Zhang only,W,all non-W sleep,f_repeat_micro_v3,fixed R^* micro-correction,21,27,0.7301587301587301
training_outer_fold,2.0,Zhang only,W,N1,f_self_similarity,pure F_S,17,6,0.6274509803921569
training_outer_fold,2.0,Zhang only,W,N1,f_old_return_prominence,old single-P correction,17,6,0.7254901960784313
training_outer_fold,2.0,Zhang only,W,N1,f_repeat_micro_v3,fixed R^* micro-correction,17,6,0.6372549019607844
training_outer_fold,2.0,Zhang only,W,N2,f_self_similarity,pure F_S,17,10,0.8294117647058824
training_outer_fold,2.0,Zhang only,W,N2,f_old_return_prominence,old single-P correction,17,10,0.8705882352941177
training_outer_fold,2.0,Zhang only,W,N2,f_repeat_micro_v3,fixed R^* micro-correction,17,10,0.8411764705882353
training_outer_fold,2.0,Zhang only,W,N3,f_self_similarity,pure F_S,17,1,1.0
training_outer_fold,2.0,Zhang only,W,N3,f_old_return_prominence,old single-P correction,17,1,1.0
training_outer_fold,2.0,Zhang only,W,N3,f_repeat_micro_v3,fixed R^* micro-correction,17,1,1.0
training_outer_fold,2.0,Zhang only,W,REM,f_self_similarity,pure F_S,17,3,0.7450980392156863
training_outer_fold,2.0,Zhang only,W,REM,f_old_return_prominence,old single-P correction,17,3,0.7254901960784315
training_outer_fold,2.0,Zhang only,W,REM,f_repeat_micro_v3,fixed R^* micro-correction,17,3,0.7254901960784315
training_outer_fold,2.0,Zhang only,W,all non-W sleep,f_self_similarity,pure F_S,17,20,0.7647058823529411
training_outer_fold,2.0,Zhang only,W,all non-W sleep,f_old_return_prominence,old single-P correction,17,20,0.8117647058823529
training_outer_fold,2.0,Zhang only,W,all non-W sleep,f_repeat_micro_v3,fixed R^* micro-correction,17,20,0.7705882352941177
training_outer_fold,3.0,Zhang only,W,N1,f_self_similarity,pure F_S,5,10,0.24
training_outer_fold,3.0,Zhang only,W,N1,f_old_return_prominence,old single-P correction,5,10,0.28
training_outer_fold,3.0,Zhang only,W,N1,f_repeat_micro_v3,fixed R^* micro-correction,5,10,0.22000000000000003
training_outer_fold,3.0,Zhang only,W,N2,f_self_similarity,pure F_S,5,24,0.5416666666666667
training_outer_fold,3.0,Zhang only,W,N2,f_old_return_prominence,old single-P correction,5,24,0.6583333333333333
training_outer_fold,3.0,Zhang only,W,N2,f_repeat_micro_v3,fixed R^* micro-correction,5,24,0.575
training_outer_fold,3.0,Zhang only,W,N3,f_self_similarity,pure F_S,5,1,0.4
training_outer_fold,3.0,Zhang only,W,N3,f_old_return_prominence,old single-P correction,5,1,0.8
training_outer_fold,3.0,Zhang only,W,N3,f_repeat_micro_v3,fixed R^* micro-correction,5,1,0.4
training_outer_fold,3.0,Zhang only,W,REM,f_self_similarity,pure F_S,5,1,0.8
training_outer_fold,3.0,Zhang only,W,REM,f_old_return_prominence,old single-P correction,5,1,0.8
training_outer_fold,3.0,Zhang only,W,REM,f_repeat_micro_v3,fixed R^* micro-correction,5,1,0.8
training_outer_fold,3.0,Zhang only,W,all non-W sleep,f_self_similarity,pure F_S,5,36,0.46111111111111114
training_outer_fold,3.0,Zhang only,W,all non-W sleep,f_old_return_prominence,old single-P correction,5,36,0.5611111111111111
training_outer_fold,3.0,Zhang only,W,all non-W sleep,f_repeat_micro_v3,fixed R^* micro-correction,5,36,0.47777777777777775
training_outer_fold,4.0,Zhang only,W,N1,f_self_similarity,pure F_S,15,11,0.47878787878787876
training_outer_fold,4.0,Zhang only,W,N1,f_old_return_prominence,old single-P correction,15,11,0.4666666666666667
training_outer_fold,4.0,Zhang only,W,N1,f_repeat_micro_v3,fixed R^* micro-correction,15,11,0.48484848484848486
training_outer_fold,4.0,Zhang only,W,N2,f_self_similarity,pure F_S,15,14,0.7666666666666667
training_outer_fold,4.0,Zhang only,W,N2,f_old_return_prominence,old single-P correction,15,14,0.761904761904762
training_outer_fold,4.0,Zhang only,W,N2,f_repeat_micro_v3,fixed R^* micro-correction,15,14,0.7666666666666667
training_outer_fold,4.0,Zhang only,W,N3,f_self_similarity,pure F_S,15,1,0.9333333333333333
training_outer_fold,4.0,Zhang only,W,N3,f_old_return_prominence,old single-P correction,15,1,0.8666666666666667
training_outer_fold,4.0,Zhang only,W,N3,f_repeat_micro_v3,fixed R^* micro-correction,15,1,0.9333333333333333
training_outer_fold,4.0,Zhang only,W,REM,f_self_similarity,pure F_S,15,6,0.5
training_outer_fold,4.0,Zhang only,W,REM,f_old_return_prominence,old single-P correction,15,6,0.47777777777777775
training_outer_fold,4.0,Zhang only,W,REM,f_repeat_micro_v3,fixed R^* micro-correction,15,6,0.5
training_outer_fold,4.0,Zhang only,W,all non-W sleep,f_self_similarity,pure F_S,15,32,0.6229166666666667
training_outer_fold,4.0,Zhang only,W,all non-W sleep,f_old_return_prominence,old single-P correction,15,32,0.6104166666666666
training_outer_fold,4.0,Zhang only,W,all non-W sleep,f_repeat_micro_v3,fixed R^* micro-correction,15,32,0.625
training_outer_fold,5.0,Zhang only,W,N1,f_self_similarity,pure F_S,3,8,0.25
training_outer_fold,5.0,Zhang only,W,N1,f_old_return_prominence,old single-P correction,3,8,0.2916666666666667
training_outer_fold,5.0,Zhang only,W,N1,f_repeat_micro_v3,fixed R^* micro-correction,3,8,0.25
training_outer_fold,5.0,Zhang only,W,N2,f_self_similarity,pure F_S,3,13,0.3589743589743589
training_outer_fold,5.0,Zhang only,W,N2,f_old_return_prominence,old single-P correction,3,13,0.48717948717948717
training_outer_fold,5.0,Zhang only,W,N2,f_repeat_micro_v3,fixed R^* micro-correction,3,13,0.4358974358974359
training_outer_fold,5.0,Zhang only,W,N3,f_self_similarity,pure F_S,3,0,
training_outer_fold,5.0,Zhang only,W,N3,f_old_return_prominence,old single-P correction,3,0,
training_outer_fold,5.0,Zhang only,W,N3,f_repeat_micro_v3,fixed R^* micro-correction,3,0,
training_outer_fold,5.0,Zhang only,W,REM,f_self_similarity,pure F_S,3,2,0.0
training_outer_fold,5.0,Zhang only,W,REM,f_old_return_prominence,old single-P correction,3,2,0.0
training_outer_fold,5.0,Zhang only,W,REM,f_repeat_micro_v3,fixed R^* micro-correction,3,2,0.0
training_outer_fold,5.0,Zhang only,W,all non-W sleep,f_self_similarity,pure F_S,3,23,0.2898550724637681
training_outer_fold,5.0,Zhang only,W,all non-W sleep,f_old_return_prominence,old single-P correction,3,23,0.37681159420289856
training_outer_fold,5.0,Zhang only,W,all non-W sleep,f_repeat_micro_v3,fixed R^* micro-correction,3,23,0.3333333333333333
