evaluation,dataset_scope,stage,component,component_label,n_epochs,mean,sd,q10,median,q90,fraction_above_0p90
training_nested_subject_group_oof,pooled,W,f_self_similarity,pure F_S,61,0.7394592924020372,0.3554135905732183,0.07229369133092113,0.9490074995936391,0.9998251033105149,0.6065573770491803
training_nested_subject_group_oof,pooled,W,f_old_return_prominence,old single-P correction,61,0.7253530794586606,0.37096232982970906,0.024098766279763484,0.9729768490421492,0.9999998041873801,0.5573770491803278
training_nested_subject_group_oof,pooled,W,f_repeat_micro_v3,fixed R^* micro-correction,61,0.7376507725412998,0.35771349718586337,0.06332919008837706,0.9598339477162474,0.9998637849986602,0.5901639344262295
training_nested_subject_group_oof,pooled,N1,f_self_similarity,pure F_S,53,0.7602065058492882,0.33571569514267663,0.1022940781909618,0.9258386466011961,0.9987883620449854,0.5849056603773585
training_nested_subject_group_oof,pooled,N1,f_old_return_prominence,old single-P correction,53,0.7234449907696507,0.3680449532179547,0.03563078896172518,0.9318071274749474,0.9999727961198738,0.5471698113207547
training_nested_subject_group_oof,pooled,N1,f_repeat_micro_v3,fixed R^* micro-correction,53,0.7532790633015436,0.33904409372145927,0.08890576845475795,0.9186613108670965,0.9990407001261327,0.5660377358490566
training_nested_subject_group_oof,pooled,N2,f_self_similarity,pure F_S,97,0.4760414659430069,0.3828044557721562,0.009025048417709054,0.42258427593454,0.9774710428803907,0.23711340206185566
training_nested_subject_group_oof,pooled,N2,f_old_return_prominence,old single-P correction,97,0.4078307461778673,0.39304487676499567,0.0006631652746508142,0.30649246651426276,0.9815919873957466,0.2268041237113402
training_nested_subject_group_oof,pooled,N2,f_repeat_micro_v3,fixed R^* micro-correction,97,0.45946191551659177,0.3816991940954527,0.007052498600772157,0.42170391901752957,0.9749425687803077,0.23711340206185566
training_nested_subject_group_oof,pooled,N3,f_self_similarity,pure F_S,9,0.2884345610270789,0.35533437573809606,6.612845225965265e-05,0.03911169707809825,0.7715142826783943,0.0
training_nested_subject_group_oof,pooled,N3,f_old_return_prominence,old single-P correction,9,0.2118785977274966,0.27618861629712965,4.615428004714487e-06,0.0015306444596960914,0.6028349223780316,0.0
training_nested_subject_group_oof,pooled,N3,f_repeat_micro_v3,fixed R^* micro-correction,9,0.26835780876857185,0.33353371437279206,6.150518492852341e-05,0.030727506483865775,0.7268503169785624,0.0
training_nested_subject_group_oof,pooled,REM,f_self_similarity,pure F_S,23,0.6314880179027954,0.36174096897061686,0.05589313392608257,0.8410917748119232,0.9279691374106228,0.2608695652173913
training_nested_subject_group_oof,pooled,REM,f_old_return_prominence,old single-P correction,23,0.5998863421757176,0.3620287544712891,0.028378798112190302,0.7394667653494582,0.9760757334149519,0.17391304347826086
training_nested_subject_group_oof,pooled,REM,f_repeat_micro_v3,fixed R^* micro-correction,23,0.6217647176218748,0.3611583690745739,0.04435366683934696,0.8049346776502552,0.9206328996174632,0.21739130434782608
training_nested_subject_group_oof,Zhang,W,f_self_similarity,pure F_S,61,0.7394592924020372,0.3554135905732183,0.07229369133092113,0.9490074995936391,0.9998251033105149,0.6065573770491803
training_nested_subject_group_oof,Zhang,W,f_old_return_prominence,old single-P correction,61,0.7253530794586606,0.37096232982970906,0.024098766279763484,0.9729768490421492,0.9999998041873801,0.5573770491803278
training_nested_subject_group_oof,Zhang,W,f_repeat_micro_v3,fixed R^* micro-correction,61,0.7376507725412998,0.35771349718586337,0.06332919008837706,0.9598339477162474,0.9998637849986602,0.5901639344262295
training_nested_subject_group_oof,Zhang,N1,f_self_similarity,pure F_S,49,0.747667659309699,0.3461034552008621,0.09683552104839632,0.9258386466011961,0.999074630245738,0.5918367346938775
training_nested_subject_group_oof,Zhang,N1,f_old_return_prominence,old single-P correction,49,0.707988405743392,0.3784068447015428,0.028871935257018956,0.9244031538525649,0.9999860455336084,0.5306122448979592
training_nested_subject_group_oof,Zhang,N1,f_repeat_micro_v3,fixed R^* micro-correction,49,0.7402797519325645,0.3493905488920164,0.07862940636408806,0.9186613108670965,0.9992681779602182,0.5714285714285714
training_nested_subject_group_oof,Zhang,N2,f_self_similarity,pure F_S,69,0.45655838820703104,0.37794279799833325,0.005908270401889755,0.4210790611132523,0.976648583662601,0.21739130434782608
training_nested_subject_group_oof,Zhang,N2,f_old_return_prominence,old single-P correction,69,0.37543369312775554,0.38830172450014305,0.0003314331238682492,0.18427143100905133,0.9661557429853587,0.2028985507246377
